Number;Start time in milliseconds;End time in milliseconds;"Text"
1;9166,6667;11166,6667;"[water rushing]"
2;14208,3334;15958,3334;"[woodpecker drilling]"
3;52416,6667;53458,3334;"[snarling]"
4;55875;57000;"[screeching]"
5;58583,3334;60041,6667;"-[yells]
-[screeches]"
6;64458,3334;65666,6667;"[grunting]"
7;69375;70875;"[growls]"
8;70958,3334;72083,3334;"[hisses]"
9;78041,6667;79333,3334;"[neighs]"
10;99833,3334;101500;"[screeches]"
11;112916,6667;114250;"[sighs]"
12;125000;126500;"Today isn't your day, is it?"
19;180583,3334;181625;"What will it be?"
20;182666,6667;184333,3334;"Point me to the alderman's house."
21;184416,6667;186833,3334;"-It's down the alley to the left."
22;193750;195666,6667;"We don't want your kind here, Witcher."
23;196666,6667;197666,6667;"The alderman, tell me where he is and I'll be on my way."
25;201958,3334;203916,6667;"You don't give the orders around here..."
26;204000;206333,3334;"[scoffs] you mutant son of a bitch."
28;209208,3334;211291,6667;"-[innkeeper] Hear that?
-[low rumble]"
29;211375;212375;"Go on your own or at the end of a rope, your choice."
31;216833,3334;217875;"Not a hard choice."
32;218250;220625;"Yeah, fuck that. Kill him with your bare hands if you have to."
33;223083,3334;225458,3334;"C'mon, Witcher. You're not scared of us, are ya? Show us what you've got.
-Can you not leave it alone for a moment?"
35;238291,6667;241083,3334;"-Witchers can't be trusted.
-[woman] I'm not speaking to you."
36;243083,3334;245833,3334;"I apologize for my man's interference in your day. Hopefully he can improve his behavior by tomorrow's market."
38;253750;255041,6667;"Sorry, Renfri. Come on, lads."
40;261666,6667;263666,6667;"Beer for my friend here and one for me. I am speaking to you now, good sir."
45;283541,6667;284666,6667;"Want some breakfast?"
46;286833,3334;287833,3334;"I'm full. Venison."
49;313833,3334;316208,3334;"My mother, God rest her,
would be mortified."
50;317833,3334;319041,6667;"Our secret, then."
51;328208,3334;330375;"So, what brings you to Blaviken, White Hair? You came for a monster?"
53;333125;334666,6667;"I was traveling by the swamp."
54;334750;338041,6667;"That would be your mistake, then. Why wouldn't you travel by main roads?"
55;339625;341333,3334;"It's hard to make a living on main roads."
56;342208,3334;344541,6667;"And you desperately need money for new clothes."
57;350250;351250;"Two more beers."
58;366750;368083,3334;"[sighs]"
59;368166,6667;370708,3334;"More and more,
I find monsters wherever I go."
60;383833,3334;385750;"How much coin for your kikimora, then?"
61;400083,3334;402250;"I killed a rat this morning
with my breakfast fork."
62;402958,3334;404958,3334;"Stabbed it in its fat little gut."
63;405541,6667;407750;"My mother nearly fainted,
but what was I supposed to do?"
64;407833,3334;410000;"It had been shitting in our pantry
for days."
65;414791,6667;417000;"-[Witcher] You mentioned coin.
-[girl] Yes."
66;417500;419666,6667;"Isadora said you were looking
for my father."
67;420166,6667;421750;"She's a gossip, you see."
68;421833,3334;423791,6667;"Probably went two steps
into the Lord's Inn"
69;423875;427083,3334;"before she was running off telling
everyone an evil witcher had arrived."
70;427166,6667;428000;"[horse snorts]"
71;430041,6667;431083,3334;"You don't scare me."
72;431791,6667;432958,3334;"That's too bad."
73;433041,6667;435125;"And I can also tell you that my father will have no usefor this beast."
75;438041,6667;439000;"Your father, the alderman?"
77;441916,6667;443250;"He posted a flyer."
78;444333,3334;445375;"For a graveir."
79;446000;447291,6667;"kikimoras are useful. Population control."
81;451625;452833,3334;"Hm."
82;453666,6667;455500;"You should speak to Master Irion,
our wizard."
83;456958,3334;459875;"He's willing to pay for odds and ends
he needs for elixirs."
84;461000;462625;"I sold him our dog when it died. Mysteriously."
86;467500;468333,3334;"Fine."
87;468958,3334;470083,3334;"Take me to him."
88;471625;474000;"I got 15 crowns for the yappy mutt."
89;475833,3334;479208,3334;"That's enough to buy some new clothes. Just saying."
90;481041,6667;482125;"Hm."
91;482208,3334;483333,3334;"Come on, Roach."
93;488125;490041,6667;"[girl] Have you ever killed a succubus? A striga? Werewolf? She-wolf?"
97;495791,6667;496958,3334;"That's not a thing."
98;497625;499041,6667;"So you've killed the rest?"
99;499583,3334;501083,3334;"I think that makes you a hero. My mother says ou're the offspring of foul sorcery, a diabolic creation,
a filthy degenerate born of Hell."
102;509791,6667;511250;"Have you ever been to Hell?"
103;512333,3334;513875;"I've never even left Blaviken."
104;513958,3334;515541,6667;"Because my mother's never left Blaviken,"
105;515625;519000;"and if it's good enough for Libushe,
then it's good enough for Marilka."
106;519083,3334;520666,6667;"-That's my name.
-[goat bleats]"
107;520750;521625;"Marilka."
108;522666,6667;523666,6667;"Like milk."
109;525208,3334;526208,3334;"What's your name?"
110;527208,3334;528208,3334;"Geralt."
111;529250;530333,3334;"Like garroter?"
112;531333,3334;532333,3334;"Nice."
113;533000;534375;"Where are you from, Geralt?"
114;535208,3334;536250;"Rivia."
