Number;Start time in milliseconds;End time in milliseconds;"Text"
1;14500;16041,6667;"[cawing]"
2;20000;22166,6667;"[cawing]"
3;25833,3334;26666,6667;"[caws]"
4;96833,3334;98083,3334;"Love surprises."
5;99333,3334;100166,6667;"Love visitors."
6;100916,6667;102875;"A surprise visitor all the more."
7;103833,3334;106000;"-I've had eyes on you for a while.
-[chuckles]"
8;106708,3334;108041,6667;"We're very flattered."
9;109708,3334;111708,3334;"But who is this secret peeper"
10;111791,6667;113375;"peeping all our secrets?"
11;113458,3334;114666,6667;"I know who you are."
12;122333,3334;123416,6667;"What you are."
13;127208,3334;129041,6667;"You're different to other dopplers."
14;130625;132916,6667;"You're not good-natured or helpful,
are you?"
15;133000;135000;"And yet you are here for our help."
16;136000;138375;"Do you not have errand boys
where you come from?"
17;139500;141708,3334;"They lacked your valuable set of skills."
18;143875;145708,3334;"-Don't worry.
-[raven cawing]"
19;145791,6667;146791,6667;"It's not silver."
20;149958,3334;151833,3334;"We fancy our freedom."
21;152916,6667;155125;"It is not money we thirst for, per se."
22;155208,3334;157166,6667;"There is plenty that you do thirst for."
23;158125;160833,3334;"Assassination on behalf
of the Kingdom of Nilfgaard."
24;163416,6667;167666,6667;"Or perhaps another eye or ear
to round out your artful composition."
25;171958,3334;174166,6667;"We'd planned on wearing this one
for a while."
26;180083,3334;181875;"But we are flexible."
27;187833,3334;189333,3334;"[neighing]"
28;189958,3334;191166,6667;"[horse nickers]"
29;203208,3334;205375;"[men shouting]"
30;214041,6667;215208,3334;"[grunts]"
31;215791,6667;216916,6667;"[groaning]"
32;218375;219625;"[groans]"
33;227833,3334;228958,3334;"[coughing]"
34;230750;231625;"[gasps]"
35;231708,3334;234125;"A cell of dimeritium made just for you."
36;236000;238916,6667;"How does it feel
to be neutered of your powers?"
37;239750;241416,6667;"I know how you were schooled,"
38;242500;243625;"how you were shaped."
39;245833,3334;247125;"This isn't who you are."
40;248416,6667;251250;"The White Flame made me who I am..."
41;252166,6667;253708,3334;"gave me a higher purpose."
42;254708,3334;256166,6667;"You could've had that too,"
43;256250;259958,3334;"if only you realized
that Cintra had to fall."
44;260041,6667;261625;"I have found his purpose."
45;268000;269000;"This one?"
46;271375;272541,6667;"Do we have to?"
47;285000;286083,3334;"[sighs]"
48;302041,6667;303125;"[gasps]"
