Number;Start time in milliseconds;End time in milliseconds;"Text"
1;11875;13583,3334;"[boy] It comes on a full moon..."
2;14416,6667;15416,6667;"to feed."
3;17291,6667;18833,3334;"That's what Ma used to say."
4;22791,6667;23916,6667;"When a wolf..."
5;26291,6667;27958,3334;"crosses a maiden's grave."
6;31500;34708,3334;"A pregnant girl who died before her time."
7;38666,6667;39666,6667;"That babe..."
8;40666,6667;41833,3334;"starts growing..."
9;43458,3334;44916,6667;"right in her belly."
10;45000;46625;"[dust scatters]"
11;47458,3334;48708,3334;"[blows]"
12;49541,6667;51541,6667;"[coughing]"
13;54291,6667;55583,3334;"When it's big enough..."
14;58541,6667;60750;"that babe rips out."
15;66416,6667;68041,6667;"Only it ain't a babe no more."
16;71333,3334;72541,6667;"It's a monster."
17;75500;76750;"A vukodlak."
18;81041,6667;83541,6667;"I swear, Witcher, that's what got me."
19;84833,3334;86083,3334;"I swear I saw it."
20;86166,6667;89833,3334;"-I swear on my ma's grave, I saw it--
-Shh. Shh, shh."
21;91416,6667;93958,3334;"Three thousand orens. Up front."
22;94041,6667;96208,3334;"[coughing]"
23;113291,6667;115125;"[screams]"
24;118375;120375;"[echoing scream]"
25;160458,3334;162666,6667;"[metal clinking]"
26;186500;188500;"[hook creaks]"
27;198041,6667;199291,6667;"[loud screech]"
28;199375;200583,3334;"[woman] No!"
29;202708,3334;204291,6667;"[woman screaming]"
30;208166,6667;210166,6667;"[metal clinking]"
31;213833,3334;215291,6667;"[loud screech]"
32;219083,3334;220250;"[grunts]"
33;223375;225791,6667;"This... [chuckles] I definitely know."
34;227458,3334;230041,6667;"-♪ The vampiress bled ♪
-[sighs]"
35;230125;232500;"♪ As white as a sheet ♪"
36;233416,6667;237625;"-[sighs]
-♪ And yet her dead heart did beat ♪"
37;239333,3334;240458,3334;"♪ Did beat ♪"
38;245208,3334;246208,3334;"The kikimora?"
39;254625;255625;"Mm."
40;259166,6667;260166,6667;"Hmm."
41;260791,6667;263250;"I don't recall the bard 
singing of this one."
42;265083,3334;267500;"Who would dare 
try and rob you of your treasure?"
43;269250;270333,3334;"A woman?"
44;271625;272625;"Princess."
45;274583,3334;276041,6667;"Were you in love?"
46;278416,6667;279416,6667;"What's her name?"
47;280791,6667;284208,3334;"When you live as long as I do,
all the names start to sound the same."
48;287583,3334;290166,6667;"[sighs] Were destiny a kinder bitch, 
a whore like me"
49;290250;292875;"wouldn't have to settle for 
her client's telltales."
50;298291,6667;301708,3334;"A friend of yours came through here
last month headed for Temeria."
51;302375;303250;"Friend?"
52;304125;305333,3334;"Another witcher."
53;306291,6667;310416,6667;"Mm. Blessed that prick
with my fullest efforts, too,"
54;310500;311750;"-and he--
-What's in Temeria?"
55;311833,3334;314333,3334;"-Do you not just hear me talking?
-Shouldn't you know"
56;314416,6667;316208,3334;"-when someone's pretending?
-[pounding on door]"
57;316291,6667;318041,6667;"-[scoffs]
-[man] It's been three nights."
58;318125;320291,6667;"Pay up or get out!"
59;320375;321375;"Temeria?"
60;322958,3334;325750;"[sighs] It's got a pest problem."
61;326833,3334;329791,6667;"A few miners rounded up 3,000 orens
to have it killed."
62;330458,3334;332625;"Your boy took the coin and ran."
63;332708,3334;334458,3334;"-[banging on door]
-[man] You hear me?"
64;334541,6667;336708,3334;"[banging continues]"
65;339250;341083,3334;"Thank you... for..."
66;342208,3334;343208,3334;"everything."
67;343291,6667;345125;"-[man] Witcher!
-[banging persists]"
68;345208,3334;346333,3334;"Hmm."
69;346416,6667;348500;"-What about the room?
-[door crashes open]"
70;353750;354791,6667;"[snorts]"
71;358958,3334;360541,6667;"[nickers]"
72;360625;361666,6667;"Don't judge me."
73;365458,3334;367500;"I'll be back with payment in a few days."
